subject,tense,person,gender,animate,number,active,honorific,verb_root
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අහ
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අන්නාය
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ඊය
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ඊහ
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අන්නාය
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,ඕය
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,ආහ
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,අන්නෝය
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,n,අන්නාහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඕය
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ආහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඊහ
3rd_person,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඕය
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ආහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඊහ
3rd_person,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අති
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අති
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එයි
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒය
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒ
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එන්නේය
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එයි
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒය
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒ
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එන්නේය
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එයි
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒය
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒ
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එන්නේය
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එති
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එයි
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒය
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඒ
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,එන්නේය
3rd_person,වර්තමාන,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අතීත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අනාගත,ප්‍රථම,නපුංසක,අප්‍රාණවාචි,බහු,y,n,ඉති
තී,වර්තමාන,මධ්‍යම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අහි
තී,අතීත,මධ්‍යම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,එහි
තී,අනාගත,මධ්‍යම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අන්නෙහි
තෙපි,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,n,n,අහු
තෙපි,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,n,n,එහු
තෙපි,අනාගත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,n,n,අන්නෙහු
තොපි,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහු
තොපි,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එහු
තොපි,අනාගත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අන්නෙහු
තෝ,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,අහි
තෝ,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,එහි
තෝ,අනාගත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,අන්නෙහි
නුඹ,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,අහි
නුඹ,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,ඌහ
නුඹ,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,එහි
නුඹ,අනාගත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,අන්නෙහි
නුඹලා,වර්තමාන,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහු
නුඹලා,අතීත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එහු
නුඹලා,අනාගත,මධ්‍යම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අන්නෙහු
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අහ
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,එති
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,ඌහ
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අහ
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,එති
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,ඌහ
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අති
මම,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,අමි
මම,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,එමි
මම,අනාගත,උත්තම,නොමැත,ප්‍රාණවාචි,ඒක,y,n,අන්නෙමි
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,ඌහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,එති
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,ඒය
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,අන්නේය
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,n,n,අයි
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,n,n,ඒය
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,n,n,අන්නේය
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,ඒය
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,අන්නේය
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,ඒය
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,ඒක,y,n,අන්නේය
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,n,අති
